"","Variable","Description","Type","Values"
"1","wife_age","Wife's age","numerical",""
"2","wife_edu","Wife's education","categorical","1=low, 2, 3, 4=high"
"3","hus_edu","Husband's education","categorical","1=low, 2, 3, 4=high"
"4","num_child","Number of children ever born","categorical","0, 1-2, 3-4, 5+"
"5","wife_rel","Wife's religion","binary","0=Non-Islam, 1=Islam"
"6","wife_work","Wife's now working?","binary","0=Yes, 1=No"
"7","hus_occup","Husband's occupation","categorical","1, 2, 3, 4"
"8","live_index","Standard-of-living index","categorical","1=low, 2, 3, 4=high"
"9","media_exp","Media exposure","binary","0=Good, 1=Not good"
"10","con_method","Contraceptive method used","class attribute","1=No-use , 2=Long-term, 3=Short-term"
